youth_group_social_media_id,age_group,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
YGSM000004,البراعم,2026-05-26 20:10:50,,True,admin
YGSM000005,الإعدادي,2026-05-26 20:10:50,,True,admin
YGSM000006,الثانوي,2026-05-26 20:10:50,,True,admin
YGSM000007,الجامعيّة,2026-05-26 20:10:50,,True,admin
YGSM000007,العاملة,2026-05-26 20:10:50,,True,admin
YGSM000009,البراعم,2026-05-26 20:10:50,,True,admin
YGSM000010,الإعدادي,2026-05-26 20:10:50,,True,admin
YGSM000011,الثانوي,2026-05-26 20:10:50,,True,admin
YGSM000026,البراعم,2026-05-26 20:10:50,,True,admin
