school_record_id,section,scd_active_from,scd_active_to,scd_currently_active_flag,scd_changed_by_user
SC002134,حنينا,2025-03-13 18:23:57,,True,admin
SC002146,ناعور,2024-11-02 15:18:54,,True,admin
SC000179,الفحيص,2025-02-01 22:58:19,,True,admin
SC002173,الفحيص الثانويّة,2025-01-31 11:16:27,,True,admin
SC002185,الفحيص الثانويّة,2024-11-07 20:39:56,,True,admin
SC002189,الفحيص الثانويّة,2024-04-15 20:11:25,,True,admin
SC002191,الفحيص الثانويّة,2025-03-11 11:15:24,,True,admin
SC002041,الفحيص الأساسيّة,2025-02-17 13:17:50,,True,admin
SC002042,الفحيص الثانويّة,2025-02-17 13:17:50,,True,admin
